kerajaan;orang;peran;ayah;ibu;pasangan;anak;namaKerajaan;ibuKota;agama;pendahulu;penerus;tahunMulai;wikidataID;tglLahir;tglMati;saudara;kerabat;dinasti;personWikidataID;orang_PageRank;orang_Louvain_Cluster;kerajaan_PageRank;kerajaan_Louvain_Cluster
Majapahit;Ra Kuti;;;;;;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;1319-01-01T00:00:00Z;Ra Semi, Ra Tanca, Ra Wedeng, Ra Yuyu, Ra Banyak, Ra Pangsa;;;http://www.wikidata.org/entity/Q119347221;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Ra Kuti;;;;;;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;1319-01-01T00:00:00Z;Ra Semi, Ra Tanca, Ra Wedeng, Ra Yuyu, Ra Banyak, Ra Pangsa;;;http://www.wikidata.org/entity/Q119347221;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Ra Kuti;;;;;;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;1292.0;http://www.wikidata.org/entity/Q49326;;1319-01-01T00:00:00Z;Ra Semi, Ra Tanca, Ra Wedeng, Ra Yuyu, Ra Banyak, Ra Pangsa;;;http://www.wikidata.org/entity/Q119347221;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Ra Kuti;;;;;;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;1319-01-01T00:00:00Z;Ra Semi, Ra Tanca, Ra Wedeng, Ra Yuyu, Ra Banyak, Ra Pangsa;;;http://www.wikidata.org/entity/Q119347221;0.0019840325587610046;6;0.012237431168675175;6
Kesultanan Banjar;Sulaiman dari Banjar;Sultan Banjar;Tahmidullah II dari Banjar;;;;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;1761-01-01T00:00:00Z;1825-06-03T00:00:00Z;;;;http://www.wikidata.org/entity/Q12517283;0.0037023169979782554;5;0.022505893445362482;5
Kesultanan Banjar;Rahmatullah dari Banjar;Sultan Banjar;Suriansyah dari Banjar;Norhayati;;Pangeran Damang, Raden Zakaria, Sultan Hidayatullah;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;;1570-01-01T00:00:00Z;Pangeran Anom, Putri Mayang Sari;;;http://www.wikidata.org/entity/Q6684550;0.0019840325587610046;9;0.022505893445362482;5
Majapahit;Gajah Mada;;;;;;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;1290-01-01T00:00:00Z;1364-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q49329;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Gajah Mada;;;;;;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;1290-01-01T00:00:00Z;1364-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q49329;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Gajah Mada;;;;;;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;1290-01-01T00:00:00Z;1364-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q49329;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Gajah Mada;;;;;;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;1290-01-01T00:00:00Z;1364-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q49329;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Gajah Mada;;;;;;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;1292.0;http://www.wikidata.org/entity/Q49326;1290-01-01T00:00:00Z;1364-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q49329;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Gajah Mada;;;;;;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;1290-01-01T00:00:00Z;1364-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q49329;0.0019840325587610046;6;0.012237431168675175;6
Kerajaan Kadiri;Kertajaya;;Bhathati;;;;;;;;;;;;1222-01-01T00:00:00Z;;;Wangsa Isyana;http://www.wikidata.org/entity/Q111678312;0.0019840325587610046;10;0.002827382106839792;10
Kesultanan Banjar;Suriansyah dari Banjar;Sultan Banjar;Raden Mantri Alu;Puteri Galuh Beranakan;;;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;;1546-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q10950705;0.0021714435694451797;9;0.022505893445362482;5
Kesultanan Pajang;Sunan Demak;;Sunan Ampel;;;;;;Islam;Demak Sultanate;Mataram Sultanate;1568.0;;1473-01-01T00:00:00Z;1570-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q135552791;0.0019840325587610046;8;0.0024057073328003983;8
Kerajaan Sunda;Pangeran Walangsungsang;Tumenggung;Sri Baduga Maharaja;;;;;;;;;;;1423-01-01T00:00:00Z;1529-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q131955027;0.002921842515298892;4;0.006292044446020286;4
Kesultanan Banjar;Tahlilullah;Sultan Banjar;Saidullah dari Banjar;;;Surya Alam dari Banjar;;;;;;;;1654-01-01T00:00:00Z;1708-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q19748674;0.004459736642681323;5;0.022505893445362482;5
Kesultanan Banjar;Muhammad dari Banjar;Sultan Banjar;Hamidullah;;Putri Tamjidillah I;;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;1730-01-01T00:00:00Z;1761-01-16T00:00:00Z;;;;http://www.wikidata.org/entity/Q12499402;0.0019840325587610046;5;0.022505893445362482;5
Kesultanan Tidore;Mir of Tidore;sultan;Al-Mansur dari Tidore;;;;;Tidore;Sunni Islam;;Dutch East Indies;1081.0;;1510-01-01T00:00:00Z;1550-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q89377011;0.003451271022446526;11;0.006042975550237098;11
Kesultanan Tidore;Al-Mansur dari Tidore;sultan;;;;Mir of Tidore;;Tidore;Sunni Islam;;Dutch East Indies;1081.0;;;1526-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q89372631;0.003451271022446526;11;0.006042975550237098;11
Kesultanan Demak;Raden Hamzah;;Sunan Ampel;;;Sunan Bayat;;;;;;;;1423-01-01T00:00:00Z;1478-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q133605804;0.0019840325587610046;8;0.004438479049294041;8
Kerajaan Mataram;Mpu Sindok;;;;;Sri Isyana Tunggawijaya;;;;;;;;;0947-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q47684;0.0032972422840415964;12;0.008688047963907047;12
Kerajaan Mataram;Dharmawangsa Teguh;Raja (penguasa);Makuthawangsawardhana;;;Istri Airlangga, Istri Sri Jayabhupati;;;;;;;;1000-01-01T00:00:00Z;1007-01-01T00:00:00Z;Mahendradatta;;;http://www.wikidata.org/entity/Q3276813;0.0019840325587610046;12;0.008688047963907047;12
Kesultanan Banjar;Saidullah dari Banjar;Sultan Banjar;Inayatullah dari Banjar;;;Tahlilullah;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;;1660-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q10975742;0.0041771392474592595;5;0.022505893445362482;5
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Bondan Kedjawen;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Bondan Kedjawen;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Bondan Kedjawen;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Bondan Kedjawen;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Bondan Kedjawen;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Bondan Kedjawen;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bathara Katong;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bathara Katong;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bathara Katong;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bathara Katong;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bathara Katong;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bathara Katong;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Ratu Ratna Pembayun;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Ratu Ratna Pembayun;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
